training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
8.410223,-8.410223,0.26467872,1.0,0.07330776,-0.078563094,2.8153028,8.513832,-8.513832,0.29058117,1.0,1.0245050740718842,5122.525378704071,5000
8.304146,-8.304146,0.23815951,1.0,0.05526066,-0.12640399,3.0417051,8.344649,-8.344649,0.24828516,1.0,0.011444711303710938,5179.7489404678345,10000
8.222675,-8.222675,0.21779159,1.0,0.09038004,-0.08112364,2.829319,8.398123,-8.398123,0.26165354,1.0,0.011823710441589355,5238.867497682571,15000
8.174885,-8.174885,0.2058442,1.0,0.052433793,-0.08947375,2.3471725,8.317408,-8.317408,0.24147478,1.0,0.012211815500259399,5299.926581144333,20000
8.147632,-8.147632,0.19903085,1.0,0.07161327,-0.055157624,2.537839,8.324583,-8.324583,0.24326876,1.0,0.01244058723449707,5362.129522562027,25000
8.088679,-8.088679,0.18429291,1.0,0.10360303,-0.06344492,2.6002579,8.389074,-8.389074,0.25939137,1.0,0.012495212888717652,5424.605592250824,30000
8.129056,-8.129056,0.19438702,1.0,0.09477457,-0.0640585,2.7897434,8.301296,-8.301296,0.23744708,1.0,0.012626116609573364,5487.736180782318,35000
8.1113405,-8.1113405,0.189958,1.0,0.07106511,-0.07095366,2.6404777,8.265801,-8.265801,0.22857335,1.0,0.012689503622055053,5551.183704376221,40000
8.033491,-8.033491,0.17049569,1.0,0.06497806,-0.10663072,2.5512273,8.174745,-8.174745,0.2058091,1.0,0.012728447484970092,5614.825946807861,45000
8.09432,-8.09432,0.18570293,1.0,0.070238434,-0.046393417,2.7516565,8.29936,-8.29936,0.23696294,1.0,0.012759615087509155,5678.624027967453,50000
8.046543,-8.046543,0.17375895,1.0,0.0732096,-0.06391667,2.4145544,8.264355,-8.264355,0.2282117,1.0,0.012744851303100586,5742.348289966583,55000
8.109221,-8.109221,0.18942824,1.0,0.06812674,-0.08721933,2.7536497,8.25824,-8.25824,0.22668305,1.0,0.012795411491394043,5806.325352907181,60000
8.013689,-8.013689,0.16554528,1.0,0.073839426,-0.09634123,2.4117265,8.259909,-8.259909,0.2271002,1.0,0.01277730221748352,5870.211869478226,65000
8.037935,-8.037935,0.17160669,1.0,0.103419855,-0.094028726,2.5120468,8.284858,-8.284858,0.23333746,1.0,0.012768637037277222,5934.055061340332,70000
8.020081,-8.020081,0.16714312,1.0,0.079684585,-0.05067316,2.658066,8.250682,-8.250682,0.22479358,1.0,0.01280573878288269,5998.083760499954,75000
8.039854,-8.039854,0.17208639,1.0,0.05261199,-0.075450644,2.5632093,8.1819935,-8.1819935,0.20762146,1.0,0.012795298862457276,6062.060260295868,80000
8.005777,-8.005777,0.1635674,1.0,0.06579049,-0.08358056,2.4830139,8.340338,-8.340338,0.24720739,1.0,0.012764972305297852,6125.885128498077,85000
7.9312153,-7.9312153,0.1449267,1.0,0.0704997,-0.06326137,2.3801978,8.289082,-8.289082,0.2343933,1.0,0.01277536334991455,6189.76195025444,90000
7.945029,-7.945029,0.14838016,1.0,0.09542568,-0.05565066,2.59808,8.296635,-8.296635,0.23628177,1.0,0.012804607772827149,6253.784994602203,95000
8.053446,-8.053446,0.17548443,1.0,0.06048337,-0.0626539,2.7529569,8.294031,-8.294031,0.23563057,1.0,0.012766364097595215,6317.616821527481,100000
7.936593,-7.936593,0.14627123,1.0,0.06961126,-0.10326702,2.405072,8.349222,-8.349222,0.24942866,1.0,0.9542887982845306,11089.060818910599,105000
7.910024,-7.910024,0.13962898,1.0,0.047206223,-0.10256958,2.4280446,8.334535,-8.334535,0.2457565,1.0,0.01145011625289917,11146.311405658722,110000
7.9680686,-7.9680686,0.15414008,1.0,0.07622234,-0.054806832,2.3841698,8.295464,-8.295464,0.23598886,1.0,0.011779973411560058,11205.211282253265,115000
7.9289126,-7.9289126,0.14435111,1.0,0.08671895,-0.08639227,2.5652442,8.35203,-8.35203,0.25013041,1.0,0.012176052141189575,11266.09154844284,120000
7.93223,-7.93223,0.14518042,1.0,0.0968061,-0.0673984,2.4659944,8.382078,-8.382078,0.25764248,1.0,0.012438350009918213,11328.283304691315,125000
7.9624925,-7.9624925,0.1527461,1.0,0.07071184,-0.049867414,2.6972256,8.415353,-8.415353,0.2659611,1.0,0.012570195770263672,11391.134290218353,130000
7.914772,-7.914772,0.14081597,1.0,0.07218476,-0.075779475,2.6197562,8.340155,-8.340155,0.2471616,1.0,0.012672194290161132,11454.495267391205,135000
7.960174,-7.960174,0.15216652,1.0,0.10189003,-0.09097152,2.917205,8.315494,-8.315494,0.24099626,1.0,0.012723513984680176,11518.112842559814,140000
7.9031973,-7.9031973,0.13792226,1.0,0.065215625,-0.05896348,2.5695672,8.393052,-8.393052,0.26038602,1.0,0.012710350608825683,11581.664601564407,145000
7.8652606,-7.8652606,0.12843812,1.0,0.10776193,-0.10198936,2.420961,8.375574,-8.375574,0.25601652,1.0,0.01275471887588501,11645.438202381134,150000
7.8847733,-7.8847733,0.13331628,1.0,0.0608419,-0.08309005,2.386384,8.341146,-8.341146,0.24740966,1.0,0.012760362195968628,11709.240019083023,155000
7.9470477,-7.9470477,0.14888495,1.0,0.057504162,-0.09849193,2.7593215,8.324455,-8.324455,0.24323688,1.0,0.01277808918952942,11773.13047003746,160000
7.9135895,-7.9135895,0.1405203,1.0,0.058114097,-0.07825212,2.816825,8.480528,-8.480528,0.282255,1.0,0.012767348623275757,11836.967218875885,165000
7.913969,-7.913969,0.14061524,1.0,0.06379919,-0.07001205,2.513355,8.396907,-8.396907,0.26134962,1.0,0.012814112329483032,11901.037785768509,170000
7.9042006,-7.9042006,0.13817321,1.0,0.07136254,-0.07525228,2.6604137,8.396078,-8.396078,0.26114237,1.0,0.012772567653656006,11964.900629758835,175000
7.92146,-7.92146,0.14248806,1.0,0.092980176,-0.07685808,2.870858,8.303791,-8.303791,0.23807073,1.0,0.012774462175369263,12028.772945642471,180000
7.900315,-7.900315,0.13720176,1.0,0.09503574,-0.09325325,2.4893765,8.361631,-8.361631,0.2525307,1.0,0.012798371124267578,12092.7648062706,185000
7.9238997,-7.9238997,0.14309788,1.0,0.06423895,-0.06938264,2.680027,8.372285,-8.372285,0.25519404,1.0,0.012794799947738647,12156.738811254501,190000
7.8957605,-7.8957605,0.13606305,1.0,0.06014941,-0.06379726,2.8617778,8.442509,-8.442509,0.27275014,1.0,0.012803615283966065,12220.756893396378,195000
7.9416466,-7.9416466,0.14753461,1.0,0.084720336,-0.093936175,2.8620267,8.430724,-8.430724,0.26980406,1.0,0.012782774686813355,12284.670772314072,200000
