training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
5.0150375,-5.0150375,0.16813798,1.0,0.05862002,-0.024953406,0.46818405,4.95592,-4.95592,0.14449103,1.0,0.23175861439704895,1158.7930827140808,5000
4.9871492,-4.9871492,0.15698257,1.0,0.10508119,-0.019703208,0.96039045,5.009235,-5.009235,0.16581692,1.0,0.015121534013748168,1234.4007630348206,10000
5.01032,-5.01032,0.16625114,1.0,0.05489679,-0.04384082,0.65353113,4.9307127,-4.9307127,0.1344082,1.0,0.015267209577560425,1310.7368190288544,15000
5.019143,-5.019143,0.16978012,1.0,0.0466126,-0.06143166,0.79631513,4.9466743,-4.9466743,0.14079288,1.0,0.015357210302352904,1387.5228774547577,20000
4.9742193,-4.9742193,0.15181057,1.0,0.051642384,-0.03353734,0.73872465,4.98718,-4.98718,0.15699498,1.0,0.015503324747085571,1465.0395109653473,25000
4.996154,-4.996154,0.16058446,1.0,0.056927286,-0.031109868,0.75673485,4.9887004,-4.9887004,0.15760313,1.0,0.015511039972305298,1542.5947201251984,30000
4.961222,-4.961222,0.14661181,1.0,0.04100939,-0.054147523,0.79268897,4.9692383,-4.9692383,0.14981833,1.0,0.015528221940994263,1620.23583984375,35000
4.969957,-4.969957,0.15010586,1.0,0.036638312,-0.051509596,0.7638315,4.9521017,-4.9521017,0.14296369,1.0,0.015545834493637086,1697.9650189876556,40000
4.970986,-4.970986,0.15051745,1.0,0.085174285,-0.1006451,0.9343811,4.9297543,-4.9297543,0.13402458,1.0,0.015545598649978638,1775.693018913269,45000
4.972585,-4.972585,0.15115713,1.0,0.14852722,-0.03836798,1.1419098,4.9667797,-4.9667797,0.1488349,1.0,0.015516588687896729,1853.27597117424,50000
4.9018574,-4.9018574,0.122866094,1.0,0.041926045,-0.12357023,0.91644967,4.963654,-4.963654,0.14758451,1.0,0.015497238683700561,1930.762172460556,55000
4.939481,-4.939481,0.1379152,1.0,0.19812857,-0.04965115,1.425921,4.961672,-4.961672,0.14679165,1.0,0.01555646858215332,2008.5445251464844,60000
4.9193983,-4.9193983,0.12988237,1.0,0.11033609,-0.054980163,0.9841694,4.9663363,-4.9663363,0.14865755,1.0,0.015484150218963624,2085.965285539627,65000
4.9070215,-4.9070215,0.124931574,1.0,0.09471853,-0.0765125,0.98621094,4.9395156,-4.9395156,0.13792932,1.0,0.015438646411895752,2163.158524751663,70000
4.9687963,-4.9687963,0.14964144,1.0,0.06615301,-0.06850037,0.95665884,4.9708033,-4.9708033,0.15044427,1.0,0.015467852306365966,2240.4977962970734,75000
4.977103,-4.977103,0.15296428,1.0,0.11306875,-0.04186961,1.0487399,4.9543824,-4.9543824,0.14387594,1.0,0.015464621543884277,2317.820914030075,80000
