training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
5.017186,-5.017186,0.16899727,1.0,0.06087474,-0.025002237,0.49629462,4.945202,-4.945202,0.14020377,1.0,0.2279829424381256,1139.9147219657898,5000
4.9838357,-4.9838357,0.15565717,1.0,0.14973289,-0.03472603,1.3223872,5.017995,-5.017995,0.16932088,1.0,0.01468634638786316,1213.3464620113373,10000
4.9927325,-4.9927325,0.15921612,1.0,0.031935144,-0.0351212,0.5230151,4.911928,-4.911928,0.12689413,1.0,0.015003226804733276,1288.3626029491425,15000
5.0192757,-5.0192757,0.1698331,1.0,0.03427627,-0.064267226,0.69790715,4.953372,-4.953372,0.14347172,1.0,0.01514090747833252,1364.0671486854553,20000
4.9570704,-4.9570704,0.14495118,1.0,0.05221207,-0.04528388,0.7927097,4.9791784,-4.9791784,0.15379421,1.0,0.01524376950263977,1440.2860043048859,25000
5.005803,-5.005803,0.16444434,1.0,0.056134727,-0.030583272,0.68615437,4.962912,-4.962912,0.14728783,1.0,0.015402640914916992,1517.2992188930511,30000
4.966858,-4.966858,0.14886606,1.0,0.04159021,-0.040573522,0.7044233,4.9917154,-4.9917154,0.15880916,1.0,0.015107475090026856,1592.8366045951843,35000
4.984437,-4.984437,0.1558978,1.0,0.04357799,-0.025348948,0.6825594,4.9711704,-4.9711704,0.15059118,1.0,0.015290485382080079,1669.2890388965607,40000
4.972101,-4.972101,0.15096354,1.0,0.03950839,-0.046472173,0.74224794,4.91086,-4.91086,0.12646703,1.0,0.015458830785751342,1746.5831999778748,45000
4.974228,-4.974228,0.15181425,1.0,0.07523446,-0.028847774,0.92082375,4.9491944,-4.9491944,0.14180075,1.0,0.015665111064910888,1824.9087646007538,50000
4.894868,-4.894868,0.12007022,1.0,0.03131266,-0.080283724,0.7874963,4.9776287,-4.9776287,0.15317452,1.0,0.015816446495056154,1903.9910073280334,55000
4.8995767,-4.8995767,0.1219537,1.0,0.07989244,-0.042071227,0.8828985,4.964348,-4.964348,0.147862,1.0,0.015367515707015991,1980.8285953998566,60000
4.9452615,-4.9452615,0.14022754,1.0,0.12710312,-0.028884284,1.0323539,4.988559,-4.988559,0.1575465,1.0,0.015475944805145263,2058.208327293396,65000
4.939363,-4.939363,0.13786829,1.0,0.058122143,-0.044331636,0.9961263,4.946535,-4.946535,0.14073697,1.0,0.015149293994903565,2133.9548041820526,70000
4.9739137,-4.9739137,0.15168841,1.0,0.050008602,-0.024889728,0.7990739,4.9774265,-4.9774265,0.15309355,1.0,0.015104774045944213,2209.478683948517,75000
4.9510417,-4.9510417,0.14253964,1.0,0.06545888,-0.033726726,0.83614224,4.945157,-4.945157,0.14018586,1.0,0.015619306135177612,2287.575227022171,80000
4.9536943,-4.9536943,0.14360084,1.0,0.066408135,-0.064194866,0.9065607,4.9826016,-4.9826016,0.1551638,1.0,0.015594282150268556,2365.546646118164,85000
4.9775805,-4.9775805,0.15315525,1.0,0.03078206,-0.07497586,1.0105221,4.963707,-4.963707,0.14760578,1.0,0.015697936296463013,2444.036334991455,90000
4.929237,-4.929237,0.13381775,1.0,0.03715574,-0.060148578,1.0241724,4.942873,-4.942873,0.13927226,1.0,0.015505081510543823,2521.561750650406,95000
4.906067,-4.906067,0.12454977,1.0,0.037735496,-0.08940573,1.1107252,4.887872,-4.887872,0.11727176,1.0,0.01563687586784363,2599.7461404800415,100000
4.9188633,-4.9188633,0.12966828,1.0,0.0467166,-0.047461756,0.8402121,4.977914,-4.977914,0.15328848,1.0,0.22495940465927125,3724.543175458908,105000
4.8821177,-4.8821177,0.11497004,1.0,0.04720709,-0.035947498,1.0444696,4.952491,-4.952491,0.14311932,1.0,0.01493087944984436,3799.1975798606873,110000
4.936206,-4.936206,0.13660541,1.0,0.06531854,-0.048954953,1.0176665,4.9657884,-4.9657884,0.14843826,1.0,0.015049941778182984,3874.447299718857,115000
4.8982086,-4.8982086,0.121406294,1.0,0.07146037,-0.04789114,1.0596879,4.931274,-4.931274,0.13463256,1.0,0.015247306346893311,3950.683839559555,120000
4.916997,-4.916997,0.12892178,1.0,0.03627864,-0.051327348,1.0263112,4.924586,-4.924586,0.13195728,1.0,0.015227509689331054,4026.8213982582092,125000
4.943656,-4.943656,0.1395853,1.0,0.06406439,-0.032579117,1.0164425,4.9552817,-4.9552817,0.14423564,1.0,0.015240356969833373,4103.023193359375,130000
4.868191,-4.868191,0.10939937,1.0,0.046307206,-0.096729964,1.0312399,4.9251766,-4.9251766,0.13219361,1.0,0.015169391441345215,4178.870160579681,135000
4.889592,-4.889592,0.11795979,1.0,0.04198208,-0.07878777,1.1457195,4.960458,-4.960458,0.14630608,1.0,0.015340898275375367,4255.574658155441,140000
5.013089,-5.013089,0.16735858,1.0,0.049162194,-0.071487494,1.0536513,4.984947,-4.984947,0.1561017,1.0,0.015215891122817992,4331.654121875763,145000
4.9732485,-4.9732485,0.15142246,1.0,0.050118726,-0.07958339,1.0914452,4.9085994,-4.9085994,0.12556265,1.0,0.0150990478515625,4407.149366140366,150000
4.954755,-4.954755,0.14402488,1.0,0.05091377,-0.07137944,0.97829485,4.9156632,-4.9156632,0.12838817,1.0,0.01526582407951355,4483.478496551514,155000
4.9314575,-4.9314575,0.13470611,1.0,0.04020453,-0.04853046,0.95082635,4.9296293,-4.9296293,0.13397472,1.0,0.015407315301895142,4560.515079498291,160000
4.9386005,-4.9386005,0.13756318,1.0,0.04658317,-0.10808209,1.0483303,4.885496,-4.885496,0.11632135,1.0,0.01526464648246765,4636.838319063187,165000
4.9790916,-4.9790916,0.15375952,1.0,0.10021668,-0.06559583,1.1023118,4.9168515,-4.9168515,0.12886359,1.0,0.015211409044265748,4712.895370721817,170000
4.891833,-4.891833,0.11885605,1.0,0.07725808,-0.040180054,0.9478595,4.9537954,-4.9537954,0.14364122,1.0,0.015170565366744996,4788.748208999634,175000
4.8352027,-4.8352027,0.096204214,1.0,0.059588622,-0.046249487,1.1458921,4.9396877,-4.9396877,0.13799816,1.0,0.015207092332839966,4864.78367972374,180000
4.924526,-4.924526,0.1319335,1.0,0.114882,-0.034635287,1.0968364,4.9791813,-4.9791813,0.1537954,1.0,0.01513029751777649,4940.435176610947,185000
4.9774055,-4.9774055,0.15308505,1.0,0.043251805,-0.08100037,1.0303943,4.9521294,-4.9521294,0.14297463,1.0,0.015113344097137452,5016.001904249191,190000
4.8841763,-4.8841763,0.11579337,1.0,0.059549063,-0.15091607,1.4498693,4.9103727,-4.9103727,0.126272,1.0,0.01510425705909729,5091.523198604584,195000
4.8849254,-4.8849254,0.11609315,1.0,0.07048451,-0.07093583,1.4016405,4.9280605,-4.9280605,0.1333472,1.0,0.01522184362411499,5167.632422924042,200000
4.8808894,-4.8808894,0.114478685,1.0,0.06511218,-0.054688208,1.3272148,4.950263,-4.950263,0.14222817,1.0,0.2246449538230896,6290.8571989536285,205000
4.825985,-4.825985,0.092517026,1.0,0.053861137,-0.10349774,1.3010464,4.9040995,-4.9040995,0.123762846,1.0,0.014758163738250733,6364.648024320602,210000
4.8795657,-4.8795657,0.11394928,1.0,0.053408418,-0.069153875,1.2684517,4.918791,-4.918791,0.12963942,1.0,0.014887980127334595,6439.087934017181,215000
4.946107,-4.946107,0.14056568,1.0,0.085381165,-0.049165662,1.1066923,4.888479,-4.888479,0.11751457,1.0,0.014930290412902832,6513.739393949509,220000
4.808572,-4.808572,0.08555173,1.0,0.06167773,-0.039346624,1.2015088,4.9503803,-4.9503803,0.14227515,1.0,0.015030754852294922,6588.893177032471,225000
4.8608923,-4.8608923,0.106479906,1.0,0.075805746,-0.04138022,1.3759594,4.9396486,-4.9396486,0.13798256,1.0,0.015046790552139283,6664.127136468887,230000
